Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS11565	-0.93380	0.27861	-0.38839	0.89928	-1.32219	0.09370	oxidative damage protection protein	Inorganic ion transport and metabolism
sps_RS17970	-0.93231	0.26923	-0.36851	0.90108	-1.30082	0.09370	tRNA-Glu	NA
sps_RS22140	0.60302	0.56904	-2.04426	0.01980	-1.44123	0.09372	autoinducer-2 kinase	Carbohydrate metabolism and transport
sps_RS04475	-1.53711	0.06922	0.10809	0.97219	-1.42901	0.09378	tRNA-Gly	NA
sps_RS01065	-0.75832	0.18769	1.65465	0.00090	0.89633	0.09401	alpha/beta hydrolase	Function Unknown
sps_RS25000	0.48207	0.54143	0.59762	0.69895	1.07969	0.09418	FtsH protease activity modulator HflK	Post-translational modification, protein turnover, chaperone functions
sps_RS21585	-0.60265	0.32028	-0.30580	0.87751	-0.90844	0.09471	lytic murein transglycosylase B	Cell wall/membrane/envelop biogenesis
sps_RS15645	-0.82635	0.13437	-0.06999	0.97170	-0.89634	0.09504	YebC/PmpR family DNA-binding regulatory protein	Transcription
sps_RS24475	-0.89465	0.11118	-0.03221	0.98644	-0.92686	0.09504	RNA polymerase-binding transcription factor DksA	Signal Transduction
sps_RS18665	1.05794	0.00031	-0.49355	0.32616	0.56438	0.09509	flagellar hook protein FliD	Cell motility
sps_RS17440	-0.63619	0.28536	-0.26861	0.89550	-0.90480	0.09532	choline dehydrogenase	Amino Acid metabolis and transport
sps_RS01615	0.59651	0.23982	0.18513	0.91368	0.78164	0.09539	sigma-54-dependent Fis family transcriptional regulator	Transcription
sps_RS18130	0.34451	0.58571	-1.18836	0.02238	-0.84385	0.09539	capsule assembly Wzi family protein	Function Unknown
sps_RS13640	-1.17927	0.13483	-0.08615	0.97436	-1.26541	0.09553	DUF1656 domain-containing protein	Function Unknown
sps_RS00705	-0.77742	0.11231	-0.01876	0.99048	-0.79618	0.09604	thiosulfate sulfurtransferase GlpE	Inorganic ion transport and metabolism
sps_RS06700	1.04883	0.06620	-0.08332	0.96839	0.96551	0.09604	hypothetical protein	NA
sps_RS26470	1.60101	0.00003	-0.85020	0.11253	0.75081	0.09604	pyruvate dehydrogenase complex transcriptional repressor PdhR	Transcription
sps_RS27020	0.24760	0.79451	-1.35626	0.07243	-1.10867	0.09604	hypothetical protein	Function Unknown
sps_RS24355	-1.15182	0.01437	0.32228	0.85213	-0.82954	0.09610	hypothetical protein	Function Unknown
sps_RS13545	1.34473	0.07649	-0.06921	0.97734	1.27551	0.09640	ribose ABC transporter ATP-binding protein RbsA	Inorganic ion transport and metabolism
sps_RS20195	-0.41898	0.36820	1.09892	0.00547	0.67994	0.09640	recombinase RecA	Replication and repair
sps_RS23105	-1.18353	0.04217	0.17940	0.93346	-1.00413	0.09640	hypothetical protein	Function Unknown
sps_RS23750	0.41361	0.49821	0.42751	0.74587	0.84112	0.09640	hypothetical protein	Cell motility
sps_RS09180	0.74522	0.17108	0.11186	0.95085	0.85708	0.09653	peptide ABC transporter ATP-binding protein	Function Unknown
sps_RS22390	1.08646	0.32503	0.52794	0.87820	1.61440	0.09653	hypothetical protein	Function Unknown
sps_RS13935	-1.14929	0.03477	0.21498	0.91954	-0.93431	0.09656	hypothetical protein	Function Unknown
sps_RS08920	1.46467	0.00150	-2.34801	0.00000	-0.88334	0.09672	MarR family transcriptional regulator	Transcription
sps_RS15335	-1.29070	0.09795	0.00348	0.99812	-1.28722	0.09706	bifunctional diguanylate cyclase/phosphodiesterase	Signal Transduction
sps_RS13540	1.02998	0.29503	0.44918	0.89183	1.47916	0.09774	ribose ABC transporter permease	Carbohydrate metabolism and transport
sps_RS19030	2.12613	0.00024	-1.01646	0.29428	1.10967	0.09776	transfer-messenger RNA	NA
sps_RS09640	0.09214	0.94228	1.14794	0.29222	1.24008	0.09834	QacE family quaternary ammonium compound efflux SMR transporter	Inorganic ion transport and metabolism
sps_RS19610	0.00687	0.99524	0.75906	0.23624	0.76593	0.09892	hypothetical protein	Function Unknown
sps_RS16085	-0.89115	0.17457	-0.14195	0.94931	-1.03311	0.09899	tRNA-Ile	NA
sps_RS05890	-0.58307	0.08846	0.01896	0.98683	-0.56411	0.09904	class II glutamine amidotransferase	Function Unknown
sps_RS06255	2.30543	0.00000	-1.37951	0.00891	0.92592	0.09904	hypothetical protein	Replication and repair
sps_RS17965	-1.03835	0.22329	-0.26953	0.92521	-1.30789	0.09913	tRNA-Glu	NA
sps_RS12975	-0.34328	0.73335	-0.88482	0.52139	-1.22810	0.09921	DUF481 domain-containing protein	Cell wall/membrane/envelop biogenesis
sps_RS10505	0.37308	0.51643	0.40689	0.73625	0.77997	0.09963	DUF3718 domain-containing protein	Function Unknown
sps_RS11375	1.24132	0.00357	-0.45849	0.66271	0.78282	0.10009	sodium:proton antiporter	Inorganic ion transport and metabolism
sps_RS20800	-0.05131	0.93555	-0.57809	0.29918	-0.62941	0.10085	PilZ domain-containing protein	Function Unknown
sps_RS18710	0.92065	0.01730	-0.24120	0.87057	0.67944	0.10085	flagellar basal-body rod protein FlgG	Cell motility
sps_RS12370	1.17239	0.02081	-0.28573	0.88473	0.88666	0.10085	anhydro-N-acetylmuramic acid kinase	Post-translational modification, protein turnover, chaperone functions
sps_RS25745	-0.32768	0.60704	-0.49963	0.67074	-0.82732	0.10112	GNAT family N-acetyltransferase	Function Unknown
sps_RS11950	-0.89766	0.10917	-0.01355	0.99346	-0.91122	0.10119	pyridoxine 5'-phosphate synthase	Coenzyme metabolism
sps_RS13220	-0.16293	0.77066	-0.49578	0.49275	-0.65870	0.10142	DUF924 domain-containing protein	Function Unknown
sps_RS08590	-0.57825	0.28612	-0.23205	0.90232	-0.81030	0.10231	bacteriocin production protein	Function Unknown
sps_RS08765	0.89825	0.31940	0.43010	0.88499	1.32835	0.10231	PAS domain S-box protein	Signal Transduction
sps_RS06825	0.89180	0.00795	-0.29104	0.77336	0.60076	0.10244	pilus assembly protein PilZ	Cell motility
sps_RS21430	-1.06326	0.04041	0.17668	0.92568	-0.88658	0.10268	ribose-phosphate pyrophosphokinase	Nucleotide metabolism and transport
sps_RS20390	1.83596	0.00473	-0.65761	0.69711	1.17835	0.10379	transposase	Function Unknown
sps_RS23880	-0.83415	0.18755	-0.13352	0.95141	-0.96767	0.10391	copper resistance protein NlpE	Cell wall/membrane/envelop biogenesis
sps_RS03105	4.37910	0.00000	-3.20264	0.00000	1.17647	0.10405	amino acid transporter	Amino Acid metabolis and transport
sps_RS22910	1.29851	0.02255	-0.31238	0.88838	0.98613	0.10405	IS66 family transposase	Replication and repair
sps_RS01915	-0.67905	0.37691	-0.41965	0.85581	-1.09870	0.10415	30S ribosomal protein S13	Translation
sps_RS17360	0.03340	0.97254	0.81949	0.26679	0.85289	0.10415	DUF2913 domain-containing protein	Function Unknown
sps_RS10075	0.85887	0.17373	0.12338	0.95345	0.98225	0.10419	homoserine O-succinyltransferase	Amino Acid metabolis and transport
sps_RS09290	1.28345	0.00095	-0.56184	0.45488	0.72161	0.10503	Fe(2+) transporter permease subunit FeoB	Inorganic ion transport and metabolism
sps_RS14900	0.77067	0.26153	0.25927	0.90908	1.02994	0.10503	AcrB/AcrD/AcrF family protein	Inorganic ion transport and metabolism
sps_RS23920	0.03578	0.94934	0.49111	0.30038	0.52689	0.10503	TonB-dependent receptor	Inorganic ion transport and metabolism
sps_RS14190	-0.06118	0.91952	0.67131	0.14818	0.61013	0.10522	hypothetical protein	NA
sps_RS11355	0.13178	0.83163	-0.82085	0.09959	-0.68907	0.10664	4-alpha-glucanotransferase	Carbohydrate metabolism and transport
sps_RS02020	-2.27092	0.09607	0.06799	0.98886	-2.20293	0.10672	5S ribosomal RNA	NA
sps_RS18715	0.98109	0.15239	0.09007	0.96900	1.07116	0.10701	flagellar basal-body rod protein FlgF	Cell motility
sps_RS04560	1.12850	0.00906	-0.36530	0.78255	0.76321	0.10714	cytochrome-c oxidase, cbb3-type subunit I	Energy production and conversion
sps_RS24845	-0.49699	0.73643	-1.33775	0.53935	-1.83473	0.10729	tRNA-Thr	NA
sps_RS14745	-0.98012	0.01375	0.29389	0.83429	-0.68623	0.10732	SDR family NAD(P)-dependent oxidoreductase	Cell wall/membrane/envelop biogenesis
sps_RS12685	-0.43775	0.51681	-0.46612	0.75421	-0.90387	0.10732	chitinase	Carbohydrate metabolism and transport
sps_RS21680	1.10486	0.07008	-0.10043	0.96561	1.00442	0.10732	23S rRNA pseudouridine(1911/1915/1917) synthase RluD	Translation
sps_RS22555	-0.65583	0.25884	-0.21213	0.91388	-0.86796	0.10732	DUF4785 domain-containing protein	Function Unknown
sps_RS08345	-0.17256	0.66521	0.65854	0.04358	0.48598	0.10744	AraC family transcriptional regulator	Transcription
sps_RS00615	0.18926	0.77933	0.57437	0.50323	0.76363	0.10807	hypothetical protein	Function Unknown
sps_RS01260	-0.18633	0.86531	-0.99402	0.39556	-1.18035	0.10807	protoheme IX farnesyltransferase	Post-translational modification, protein turnover, chaperone functions
sps_RS16795	0.73290	0.14458	0.05343	0.97436	0.78632	0.10807	ketoacyl-ACP synthase III	Lipid metabolism
sps_RS18905	0.43078	0.29031	0.16696	0.90265	0.59774	0.10807	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	Lipid metabolism
sps_RS20955	0.21468	0.83314	-1.37352	0.10757	-1.15884	0.10807	tRNA-Met	NA
sps_RS12990	-0.77553	0.08075	0.05427	0.97219	-0.72126	0.10824	erythrose-4-phosphate dehydrogenase	Carbohydrate metabolism and transport
sps_RS02320	0.54491	0.14214	0.03563	0.97550	0.58054	0.10841	DUF748 domain-containing protein	Function Unknown
sps_RS16655	0.42299	0.34708	0.22138	0.87816	0.64437	0.10841	DUF11 domain-containing protein	Function Unknown
sps_RS23240	-0.43514	0.41443	-0.30730	0.84024	-0.74244	0.10853	hypothetical protein	Replication and repair
sps_RS12580	-1.24314	0.01078	0.39508	0.80205	-0.84806	0.10864	glutamine synthetase	Amino Acid metabolis and transport
sps_RS26715	-2.02248	0.09052	0.09368	0.98185	-1.92880	0.10933	5S ribosomal RNA	NA
sps_RS04850	-0.36055	0.62237	-0.56363	0.67074	-0.92418	0.10955	EscR/YscR/HrcR family type III secretion system export apparatus protein	Intracellular trafficking and secretion
sps_RS25390	-0.47234	0.72672	-1.21830	0.55955	-1.69064	0.10956	hypothetical protein	NA
sps_RS05445	0.43010	0.18755	0.06445	0.95341	0.49455	0.10977	hypothetical protein	Function Unknown
sps_RS09915	-0.78527	0.04828	0.12489	0.93172	-0.66039	0.10977	alpha/beta hydrolase	Function Unknown
sps_RS19135	-0.43893	0.50685	-0.44517	0.76404	-0.88410	0.10977	aspartate carbamoyltransferase	Nucleotide metabolism and transport
sps_RS22975	-2.76007	0.01945	0.74966	0.86954	-2.01042	0.10977	hypothetical protein	NA
sps_RS23485	1.01986	0.04705	-0.16519	0.92733	0.85468	0.10977	ABC transporter ATP-binding protein	Function Unknown
sps_RS26830	0.65445	0.10145	-0.01634	0.99005	0.63810	0.10977	type II secretion system protein GspE	Intracellular trafficking and secretion
sps_RS02370	-0.74002	0.39355	-0.47315	0.85449	-1.21316	0.11015	UMP phosphatase	Carbohydrate metabolism and transport
sps_RS02560	0.56418	0.21931	0.12147	0.93495	0.68565	0.11034	glutaredoxin, GrxA family	Post-translational modification, protein turnover, chaperone functions
sps_RS02820	0.53113	0.15264	0.03972	0.97436	0.57086	0.11034	proteobacterial dedicated sortase system histidine kinase	Signal Transduction
sps_RS21860	2.46750	0.14532	-0.05914	0.99005	2.40836	0.15223	IS66 family transposase	Replication and repair
sps_RS26390	-0.71380	0.12233	-0.01162	0.99328	-0.72542	0.11034	hypothetical protein	NA
sps_RS24410	-0.25054	0.81238	-0.93517	0.46571	-1.18571	0.11052	DUF4123 domain-containing protein	Function Unknown
sps_RS08640	0.86277	0.03560	-0.17227	0.91164	0.69050	0.11057	TonB-dependent receptor	Inorganic ion transport and metabolism
sps_RS24035	-0.31962	0.31327	-0.13605	0.90108	-0.45567	0.11090	group II intron reverse transcriptase/maturase	Replication and repair
sps_RS22690	-0.33620	0.47729	0.94534	0.01699	0.60914	0.11097	hypothetical protein	Function Unknown
sps_RS09840	-0.82908	0.08968	0.04909	0.97550	-0.77999	0.11099	tRNA-(ms[2]io[6]A)-hydroxylase	Nucleotide metabolism and transport
sps_RS02285	0.54140	0.24741	0.14559	0.92474	0.68699	0.11113	VOC family protein	Function Unknown
sps_RS16995	-1.56113	0.05105	0.29729	0.92471	-1.26384	0.11113	hypothetical protein	NA
sps_RS08100	0.82019	0.08968	-0.04465	0.97734	0.77555	0.11166	transcription-repair coupling factor	Replication and repair
sps_RS18920	-0.64198	0.18469	-0.09207	0.95609	-0.73405	0.11166	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	Translation
sps_RS15870	-0.45118	0.48789	-0.41981	0.79298	-0.87098	0.11246	hypothetical protein	NA
sps_RS00195	-0.51379	0.24594	-0.13962	0.92474	-0.65342	0.11284	DNA polymerase III subunit beta	Replication and repair
sps_RS07915	1.26938	0.10586	-0.03764	0.98767	1.23173	0.11302	hypothetical protein	NA
sps_RS24680	0.31406	0.65577	0.54486	0.64569	0.85892	0.11373	spermidine synthase	Amino Acid metabolis and transport
sps_RS23755	0.59277	0.52626	0.63628	0.75517	1.22905	0.11379	hypothetical protein	Cell motility
sps_RS11135	0.50387	0.23257	0.11905	0.93048	0.62292	0.11385	DUF599 domain-containing protein	Function Unknown
sps_RS03765	-0.65892	0.15854	-0.05552	0.97219	-0.71444	0.11387	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	Energy production and conversion
sps_RS25405	-1.22033	0.11604	0.02087	0.99328	-1.19946	0.11419	phage N-6-adenine-methyltransferase	Replication and repair
sps_RS14640	-1.32304	0.01872	0.37305	0.85648	-0.94999	0.11470	pilus assembly protein CpaB	Intracellular trafficking and secretion
sps_RS01600	1.92961	0.01253	-0.60238	0.81414	1.32723	0.11473	YjjW family glycine radical enzyme activase	Post-translational modification, protein turnover, chaperone functions
sps_RS00470	-2.62642	0.08559	0.23799	0.96786	-2.38844	0.11487	flagellar basal body protein FliL	Cell motility
sps_RS01285	0.67816	0.19365	-1.46586	0.00133	-0.78770	0.11487	cytochrome c oxidase subunit 3	Energy production and conversion
sps_RS02385	-1.23017	0.24488	-0.32458	0.92521	-1.55475	0.11487	hypothetical protein	Signal Transduction
sps_RS05260	0.49914	0.45672	0.37319	0.83464	0.87234	0.11487	sulfurtransferase complex subunit TusB	Inorganic ion transport and metabolism
sps_RS08385	-0.11994	0.91311	-0.95506	0.36261	-1.07500	0.11487	xanthine dehydrogenase family protein molybdopterin-binding subunit	Energy production and conversion
sps_RS13105	-0.80516	0.11460	0.00618	0.99594	-0.79898	0.11487	LysR family transcriptional regulator	Transcription
sps_RS22405	0.73489	0.47557	0.62858	0.80729	1.36348	0.11487	hypothetical protein	Function Unknown
sps_RS16070	-1.14385	0.26923	-0.37280	0.91651	-1.51665	0.11488	5S ribosomal RNA	NA
sps_RS11015	0.73918	0.05512	-0.10909	0.93566	0.63009	0.11503	tRNA 4-thiouridine(8) synthase ThiI	Coenzyme metabolism
sps_RS11680	1.25260	0.02931	-0.29185	0.89550	0.96075	0.11505	prepilin-type N-terminal cleavage/methylation domain-containing protein	Intracellular trafficking and secretion
sps_RS24185	-1.24784	0.04441	0.22580	0.92111	-1.02203	0.11505	hypothetical protein	NA
sps_RS08565	0.25189	0.69260	0.50907	0.60782	0.76096	0.11547	methyl-accepting chemotaxis protein	Function Unknown
sps_RS05775	0.56346	0.36196	0.30127	0.87820	0.86473	0.11566	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	Secondary Structure
sps_RS03865	-0.32476	0.65207	-0.54887	0.65882	-0.87364	0.11604	alpha-ketoacid dehydrogenase subunit beta	Energy production and conversion
sps_RS18930	1.02737	0.00479	-0.38833	0.67715	0.63904	0.11619	bifunctional metallophosphatase/5'-nucleotidase	Nucleotide metabolism and transport
sps_RS03975	-0.58714	0.34712	-0.29196	0.88705	-0.87910	0.11658	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	Coenzyme metabolism
sps_RS26415	-0.64508	0.30013	1.53657	0.00455	0.89149	0.11738	ATP-dependent protease ATPase subunit HslU	Post-translational modification, protein turnover, chaperone functions
sps_RS05200	-0.07283	0.97085	-1.59081	0.29695	-1.66365	0.11843	type VI secretion system contractile sheath large subunit	Function Unknown
sps_RS05395	0.60209	0.30102	0.22274	0.90610	0.82483	0.11878	NCS2 family permease	Function Unknown
sps_RS10000	0.38412	0.15264	0.02243	0.97919	0.40654	0.11917	DUF4157 domain-containing protein	Function Unknown
sps_RS21540	-1.44173	0.15887	-0.10741	0.97436	-1.54914	0.11953	hypothetical protein	Function Unknown
sps_RS22325	-0.11227	0.90555	-0.82022	0.38856	-0.93249	0.11953	ArsR family transcriptional regulator	Transcription
sps_RS04700	0.33660	0.60704	0.47183	0.70345	0.80844	0.11964	MFS transporter	Carbohydrate metabolism and transport
sps_RS18540	0.35211	0.64969	0.58095	0.67074	0.93306	0.11964	RNA polymerase sigma factor FliA	Transcription
sps_RS22880	1.32441	0.00080	-0.61378	0.39037	0.71063	0.11964	methyl-accepting chemotaxis protein	Function Unknown
sps_RS06720	1.28515	0.09795	-0.06613	0.97919	1.21903	0.11981	[acyl-carrier-protein] S-malonyltransferase	Lipid metabolism
sps_RS16290	0.12330	0.84623	0.52829	0.46454	0.65159	0.11994	nucleoid occlusion factor SlmA	Cell cycle control and mitosis
sps_RS10540	0.69058	0.20664	0.11436	0.94931	0.80494	0.12078	tRNA pseudouridine(65) synthase TruC	Translation
sps_RS06415	-0.25440	0.75440	-0.67446	0.55490	-0.92886	0.12088	NAD(P)/FAD-dependent oxidoreductase	Energy production and conversion
sps_RS27765	0.32877	0.55733	-1.06280	0.03057	-0.73403	0.12093	phosphate ABC transporter substrate-binding protein	Inorganic ion transport and metabolism
sps_RS02130	-0.47241	0.26769	-0.14140	0.92001	-0.61381	0.12142	AraC family transcriptional regulator	Transcription
sps_RS07910	1.37792	0.03873	-0.28568	0.90662	1.09224	0.12142	hypothetical protein	NA
sps_RS10230	1.27093	0.02642	-0.32231	0.88473	0.94861	0.12142	isovaleryl-CoA dehydrogenase	Lipid metabolism
sps_RS19205	-0.28596	0.67678	-0.53597	0.64957	-0.82193	0.12142	hypothetical protein	Function Unknown
sps_RS26825	0.33443	0.50053	0.30301	0.80290	0.63744	0.12142	type II secretion system protein GspF	Intracellular trafficking and secretion
sps_RS21695	1.48188	0.00099	-0.67732	0.41781	0.80456	0.12144	methyl-accepting chemotaxis protein	Function Unknown
sps_RS10325	-0.94259	0.06135	0.14978	0.93495	-0.79280	0.12191	hypothetical protein	Function Unknown
sps_RS12330	0.47252	0.42904	0.31026	0.85648	0.78279	0.12191	regulator	NA
sps_RS03465	0.91132	0.11707	-0.01506	0.99328	0.89625	0.12198	MFS transporter	Carbohydrate metabolism and transport
sps_RS12520	0.84311	0.31878	0.34436	0.90265	1.18747	0.12303	glycerol-3-phosphate 1-O-acyltransferase PlsY	Function Unknown
sps_RS05305	0.92936	0.05978	-1.72306	0.00014	-0.79369	0.12321	thioredoxin-disulfide reductase	Post-translational modification, protein turnover, chaperone functions
sps_RS20405	-0.05570	0.91083	-0.42226	0.39556	-0.47796	0.12357	metallophosphoesterase	Function Unknown
sps_RS03100	0.80295	0.00226	-0.34232	0.53031	0.46063	0.12372	LysR family transcriptional regulator ArgP	Transcription
sps_RS10260	0.88409	0.14382	-1.80430	0.00082	-0.92021	0.12372	CoA transferase subunit A	Lipid metabolism
sps_RS25655	-0.99746	0.03738	0.22043	0.90444	-0.77704	0.12372	glycine zipper 2TM domain-containing protein	Cell wall/membrane/envelop biogenesis
sps_RS27065	-0.22506	0.81862	-0.83105	0.49260	-1.05611	0.12420	electron transfer flavoprotein-ubiquinone oxidoreductase	Energy production and conversion
sps_RS20140	-0.43764	0.67037	-0.79510	0.65956	-1.23275	0.12436	tRNA-Arg	NA
sps_RS06460	1.18437	0.02749	-2.07752	0.00003	-0.89315	0.12443	serine dehydratase subunit alpha family protein	Function Unknown
sps_RS00850	1.23209	0.03939	-0.25902	0.90662	0.97307	0.12481	ABC transporter permease	Inorganic ion transport and metabolism
sps_RS07945	1.01658	0.01498	-0.31945	0.81781	0.69714	0.12481	ferric iron uptake transcriptional regulator	Inorganic ion transport and metabolism
sps_RS18500	0.63455	0.49696	0.57878	0.80282	1.21333	0.12504	chemotaxis protein CheW	Cell motility
sps_RS16305	-0.89307	0.02272	0.24934	0.86742	-0.64373	0.12514	orotate phosphoribosyltransferase	Nucleotide metabolism and transport
sps_RS10805	-1.37146	0.04701	0.26524	0.91954	-1.10622	0.12531	LysR family transcriptional regulator	Transcription
sps_RS15340	-0.34888	0.46523	-0.27590	0.83464	-0.62478	0.12531	DNA helicase Rep	Replication and repair
sps_RS15785	0.42069	0.36443	0.21346	0.88796	0.63415	0.12531	chemotaxis protein CheV	Cell motility
sps_RS27115	-0.00901	0.99524	-1.01233	0.27996	-1.02134	0.12531	coproporphyrinogen III oxidase family protein	Energy production and conversion
sps_RS15220	-0.45186	0.52644	-0.46279	0.78221	-0.91465	0.12583	heme biosynthesis protein HemY	Coenzyme metabolism
sps_RS24535	1.01327	0.05298	-0.17667	0.92568	0.83660	0.12629	UbiX family flavin prenyltransferase	Coenzyme metabolism
sps_RS03280	1.35258	0.05631	-0.22244	0.93014	1.13014	0.12643	glucan 1,4-alpha-glucosidase	Carbohydrate metabolism and transport
sps_RS26350	1.20313	0.01872	-0.35922	0.83608	0.84391	0.12863	MSHA biogenesis protein MshK	Function Unknown
sps_RS20255	1.01060	0.00108	-0.46624	0.41582	0.54436	0.12878	CTP synthase	Nucleotide metabolism and transport
sps_RS19540	0.97138	0.08685	-0.09645	0.96217	0.87492	0.12937	hypothetical protein	NA
sps_RS08190	0.32159	0.68496	0.58399	0.66271	0.90559	0.12993	YbaB/EbfC family nucleoid-associated protein	Function Unknown
sps_RS08905	-1.27896	0.00290	0.55365	0.55146	-0.72531	0.13031	anaerobic ribonucleoside-triphosphate reductase-activating protein	Post-translational modification, protein turnover, chaperone functions
sps_RS09885	0.71606	0.15238	0.02277	0.98894	0.73884	0.13031	tryptophan 2,3-dioxygenase	Amino Acid metabolis and transport
sps_RS23500	1.03005	0.08797	-0.09889	0.96491	0.93116	0.13031	efflux transporter periplasmic adaptor subunit	Function Unknown
sps_RS15570	2.58232	0.00029	-1.31417	0.24586	1.26814	0.13108	hypothetical protein	Function Unknown
sps_RS20935	0.20680	0.81932	-1.19154	0.12549	-0.98475	0.13216	30S ribosome-binding factor RbfA	Translation
sps_RS18270	0.60707	0.10704	-0.03917	0.97464	0.56790	0.13285	hypothetical protein	Function Unknown
sps_RS00245	0.80384	0.15157	0.01443	0.99328	0.81827	0.13390	HDOD domain-containing protein	Signal Transduction
sps_RS08655	1.01628	0.09504	-0.08507	0.96869	0.93121	0.13390	KR domain-containing protein	Secondary Structure
sps_RS27755	0.69807	0.03796	-0.15983	0.90265	0.53825	0.13390	naphthoate synthase	Coenzyme metabolism
sps_RS12305	-1.36952	0.00409	0.57106	0.60181	-0.79846	0.13399	type III secretion system protein	NA
sps_RS05430	-0.85231	0.09643	0.08664	0.96491	-0.76567	0.13472	YtoQ family protein	Function Unknown
sps_RS02960	0.23414	0.65281	0.37203	0.69465	0.60617	0.13529	ATP-dependent protease	Post-translational modification, protein turnover, chaperone functions
sps_RS13030	0.86600	0.59385	1.04559	0.74564	1.91159	0.13529	hypothetical protein	NA
sps_RS27870	0.71961	0.19412	0.07954	0.96692	0.79914	0.13529	F0F1 ATP synthase subunit B	Energy production and conversion
sps_RS19145	0.88069	0.06099	-1.62372	0.00018	-0.74303	0.13559	DoxX family protein	Function Unknown
sps_RS14935	-1.00064	0.02756	0.27892	0.87126	-0.72172	0.13639	type II 3-dehydroquinate dehydratase	Amino Acid metabolis and transport
sps_RS26375	-0.04368	0.96059	0.80801	0.23712	0.76433	0.13655	malate dehydrogenase	Energy production and conversion
sps_RS12565	-1.76741	0.02425	0.52523	0.85522	-1.24217	0.13689	putrescine ABC transporter permease PotH	Inorganic ion transport and metabolism
sps_RS14810	-0.63764	0.15645	-0.01790	0.99005	-0.65554	0.13689	YhcH/YjgK/YiaL family protein	Carbohydrate metabolism and transport
sps_RS25965	-0.80190	0.10775	0.06503	0.97203	-0.73687	0.13689	hypothetical protein	Function Unknown
sps_RS10400	0.78810	0.02480	-0.22550	0.85849	0.56259	0.13866	tRNA lysidine(34) synthetase TilS	Cell cycle control and mitosis
sps_RS13555	0.68988	0.10359	-0.05302	0.97203	0.63686	0.13866	DUF3103 domain-containing protein	Function Unknown
sps_RS01355	-0.11930	0.91592	-0.94192	0.40407	-1.06122	0.13885	VOC family protein	Function Unknown
sps_RS19970	-0.16865	0.81983	-0.61129	0.52633	-0.77994	0.13885	peroxiredoxin	Post-translational modification, protein turnover, chaperone functions
sps_RS26855	-2.54375	0.01502	0.85738	0.79157	-1.68637	0.13887	hypothetical protein	NA
sps_RS26965	1.72894	0.08800	-0.18804	0.95994	1.54091	0.13930	RNA polymerase sigma factor	Transcription
sps_RS14295	0.95492	0.08975	-0.10813	0.95648	0.84679	0.13943	hypothetical protein	Function Unknown
sps_RS20455	0.33566	0.64761	0.51664	0.70255	0.85230	0.13943	AraC family transcriptional regulator	Transcription
sps_RS00590	-0.43761	0.35500	-0.19259	0.90265	-0.63020	0.13970	flagellar motor switch protein FliG	Cell motility
sps_RS00585	-0.74754	0.22839	-0.12247	0.95345	-0.87001	0.14039	flagellar assembly protein FliH	Cell motility
sps_RS08560	0.04724	0.93586	0.48139	0.39318	0.52863	0.14059	LysR family transcriptional regulator	Transcription
sps_RS11440	1.28928	0.06603	-0.20748	0.93495	1.08180	0.14082	mechanosensitive ion channel protein	Cell wall/membrane/envelop biogenesis
sps_RS11645	-2.83251	0.07607	0.39123	0.94353	-2.44129	0.14082	multidrug transporter	Function Unknown
sps_RS26950	-0.02302	0.98310	-0.80823	0.32278	-0.83125	0.14082	DUF333 domain-containing protein	Function Unknown
sps_RS04055	-0.69000	0.27718	-0.18680	0.92696	-0.87679	0.14197	DUF1904 domain-containing protein	Function Unknown
sps_RS15015	-0.70255	0.14415	0.00016	1.00000	-0.70239	0.14257	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	Coenzyme metabolism
sps_RS03055	1.13137	0.07304	-0.16833	0.93775	0.96303	0.14285	uracil permease	Nucleotide metabolism and transport
sps_RS15535	-1.04819	0.25884	-0.24048	0.93502	-1.28867	0.14340	hypothetical protein	Function Unknown
sps_RS20315	-0.72903	0.18187	-0.04862	0.97734	-0.77766	0.14340	thiamine-phosphate kinase	Coenzyme metabolism
sps_RS13480	-0.16183	0.92693	1.75565	0.22306	1.59382	0.14342	cytochrome bd-I oxidase subunit CydX	Function Unknown
sps_RS19920	-0.30014	0.60679	-0.39144	0.74587	-0.69159	0.14342	potassium transporter KefG	Function Unknown
sps_RS11270	0.44946	0.48393	0.35867	0.84024	0.80812	0.14358	ASCH domain-containing protein	Function Unknown
sps_RS17170	-1.75118	0.03799	0.42497	0.89913	-1.32621	0.14415	XRE family transcriptional regulator	Transcription
sps_RS22925	-1.97328	0.04683	0.43106	0.90662	-1.54223	0.14415	hypothetical protein	NA
